video_file,frame_num,mean_temp,std_temp,max_temp,min_temp,label_name,label,seg_method,n_segments,seg0_pixel_count,seg0_percentage,seg0_mean_intensity,seg0_std_intensity,seg1_pixel_count,seg1_percentage,seg1_mean_intensity,seg1_std_intensity,seg2_pixel_count,seg2_percentage,seg2_mean_intensity,seg2_std_intensity,seg3_pixel_count,seg3_percentage,seg3_mean_intensity,seg3_std_intensity
MOV_12770,300,123.04418,49.962944,255.0,0.0,dry,0,kmeans,4,76541,24.915690104166664,147.32956193412682,12.819378715541653,77376,25.1875,55.93278277502068,20.9563818829844,77249,25.146158854166668,106.60276508433766,9.860633825297485,76034,24.750651041666664,183.59693032064604,16.006798196197458
MOV_12770,330,134.24959,45.868557,255.0,0.0,dry,0,kmeans,4,79163,25.769205729166668,184.49073430769425,14.806745759638922,75822,24.681640625,70.23154229643112,24.626901541650263,76375,24.861653645833336,158.56763338788872,8.603430511112407,75840,24.6875,121.32026635021097,10.848215628066388
MOV_12770,360,132.49281,43.975685,255.0,0.0,dry,0,kmeans,4,78237,25.467773437500004,183.35751626468294,15.640441156666398,77304,25.1640625,118.40185501397082,8.227298626746444,75948,24.72265625,74.01647179649234,26.414351095085767,75711,24.6455078125,152.97777073344693,9.940688438499967
MOV_12770,390,122.40281,50.158566,255.0,0.0,dry,0,kmeans,4,76345,24.851888020833332,102.89863121356998,9.448857209913921,75775,24.666341145833336,184.61072913229958,15.17344599102979,77333,25.173502604166664,56.664438208785384,19.920964887935575,77747,25.308268229166668,146.31354264473228,14.787947565426382
MOV_12770,420,126.20909,47.8214,255.0,0.0,dry,0,kmeans,4,75770,24.664713541666668,105.96205622277947,8.31825543731359,78742,25.632161458333336,147.87182189936755,14.239862442660645,76333,24.847981770833332,64.44637312826694,20.97968650845911,76355,24.855143229166668,185.70593936218978,15.456603348733399
MOV_12770,450,129.61308,45.99432,255.0,0.0,dry,0,kmeans,4,82660,26.907552083333336,183.9108395838374,15.567594504027284,72578,23.625651041666668,68.10629942957921,22.674337645061907,75997,24.738606770833332,110.10606997644643,8.37489071908556,75965,24.728190104166668,148.80959652471532,12.576029560404175
MOV_12770,480,140.92343,45.18448,255.0,0.0,dry,0,kmeans,4,78371,25.511393229166668,188.39689425935615,14.138046733622676,78598,25.585286458333336,78.33161149138655,25.676172212037002,73206,23.830078125,167.39812310466354,6.910029942909698,77025,25.0732421875,131.32837390457644,13.119676058785112
MOV_12770,510,133.4944,48.18633,255.0,0.0,dry,0,kmeans,4,74633,24.294596354166668,119.94929856765773,11.354395701236117,78540,25.56640625,186.12458619811562,13.796923740878986,78732,25.62890625,67.83399380175786,26.546431591969114,75295,24.510091145833332,160.67962016070123,9.581875832714521
MOV_12770,540,134.17769,46.0795,255.0,0.0,dry,0,kmeans,4,76390,24.866536458333332,119.83521403325042,11.37132354962252,78055,25.408528645833332,185.38301197873295,14.248437379756068,77216,25.135416666666664,71.26653802320763,23.704351014225203,75539,24.589518229166664,160.07878049749135,9.287701747036271
MOV_12770,570,125.37417,49.855354,255.0,0.0,dry,0,kmeans,4,77818,25.331380208333332,185.03234470173996,14.81310555481458,76315,24.842122395833332,106.48508156980934,9.908693928172989,77260,25.149739583333336,149.6381180429718,13.42084354462034,75807,24.6767578125,58.42000079148364,21.661323978892117
